Product,Price 2019,Price 2020,Price 2021,Price 2022,Price 2023,Currency,Country
Apples (1kg),4.50,4.67,4.86,5.48,5.75,$,USA
Oranges (1kg),3.28,3.40,3.54,3.99,4.19,$,USA
Raspberries (1kg),22.86,23.69,24.66,27.83,29.20,$,USA
Pear (1kg),3.90,4.04,4.20,4.75,4.98,$,USA
Red Plum (1kg),7.05,7.30,7.60,8.58,9.00,$,USA
White Peach (1kg),7.83,8.11,8.44,9.53,10.00,$,USA
Bananas (1kg),1.26,1.31,1.36,1.53,1.61,$,USA
Beef (1kg),11.91,12.34,12.84,14.50,15.21,$,USA
Lamb (1kg),14.08,14.59,15.18,17.13,17.98,$,USA
Pork (1kg),10.96,11.36,11.82,13.34,14.00,$,USA
Meat of chickens (1kg),9.39,9.73,10.12,11.43,11.99,$,USA
Bread (1kg),4.11,4.26,4.43,5.00,5.25,$,USA
Milk  (1 l),0.81,0.84,0.87,0.98,1.03,$,USA
Rice (white) (1kg),3.57,3.70,3.85,4.35,4.56,$,USA
Egg,0.28,0.29,0.30,0.34,0.36,$,USA
Local Cheese (1kg),10.08,10.44,10.87,12.27,12.87,$,USA
Tomato (1kg),3.61,3.74,3.89,4.39,4.61,$,USA
Potato (1kg),2.36,2.44,2.54,2.87,3.01,$,USA
Onion (1kg),2.36,2.44,2.54,2.87,3.01,$,USA
Lettuce (1 head),1.68,1.74,1.82,2.05,2.15,$,USA
Broccoli (1kg),6.09,6.31,6.57,7.41,7.78,$,USA
Red Bell Pepper (1kg),6.25,6.48,6.74,7.60,7.98,$,USA
Eggplant (1kg),2.80,2.90,3.02,3.41,3.58,$,USA
Cabbage (1kg),2.33,2.42,2.52,2.84,2.98,$,USA
Potato (1kg),3.90,4.04,4.20,4.75,4.98,$,USA
